id,course_name,instructor_name,start_time,end_time,days,type,location
ARTS101_Spring2021_S03,Introduction to Visual Studies ,Nhung Walsh,13:15:00,16:15:00,"Thursday,",Semester,Classrooms 2&3
ARTS102_Spring2021_S02,Introduction to Art History and Theory ,Pamela Corey,9:00:00,12:00:00,"Monday,",Semester,Classrooms 2&3
ARTS201_Spring2021_S01,Movements in Post-1945 International Cinema ,Aaron Anderson,16:30:00,19:30:00,"Tuesday,",Semester,Classrooms 2&3
ARTS202_Spring2021_S01,Arts of Southeast Asia ,Pamela Corey,9:00:00,12:00:00,"Wednesday,",Semester,Classrooms 2&3
ARTS203_Spring2021_S01,Introduction to Modern Art ,Pamela Corey,13:15:00,16:15:00,"Wednesday,",Semester,Classrooms 2&3
ARTS205_Spring2021_S01,Art for Social Change: The Curator's Roles in Non-Institutional Exhibition Making ,Nhung Walsh,16:30:00,19:30:00,"Thursday,",Semester,Classrooms 2&3
CORE101_Spring2021_S05,Global Humanities and Social Change ,Aaron Anderson,16:30:00,19:30:00,"Wednesday,",Semester,Classrooms 2&3
CORE101_Spring2021_S07,Global Humanities and Social Change ,Andrew Bellisari,13:15:00,14:45:00,"Tuesday, Thursday,",Semester,Classroom 4
CORE101_Spring2021_S09,Global Humanities and Social Change ,Pamela Stacey,13:15:00,16:15:00,"Monday,",Semester,Classroom 4
CORE102_Spring2021_S02,Modern Vietnamese Culture and Society ,Nguyen Nam - Vu Minh Hoang - TAs,9:00:00,12:00:00,"Thursday,",Semester,Ting Foundation Space
CORE102_Spring2021_S03,Modern Vietnamese Culture and Society ,Nguyen Nam - Vu Minh Hoang - TAs,9:00:00,12:00:00,"Friday,",Semester,Ting Foundation Space
CORE103_Spring2021_S02,Quantitative Reasoning for a Digital Age ,Sebastian Dziallas,9:00:00,12:00:00,"Friday,",Semester,Classrooms 6&7
CORE103_Spring2021_S04,Quantitative Reasoning for a Digital Age ,Linh Tran,9:00:00,12:00:00,"Wednesday,",Semester,Classrooms 6&7
CORE103_Spring2021_S06,Quantitative Reasoning for a Digital Age ,Graeme Walker,9:00:00,12:00:00,"Monday,",Semester,Classrooms 6&7
CORE104_Spring2021_S02,Scientific Inquiry ,Kinho Chan,13:15:00,14:45:00,"Monday, Wednesday,",Semester,Classroom 5
CORE104_Spring2021_S08,Scientific Inquiry ,Jill Siri,9:00:00,12:00:00,"Thursday,",Semester,Art Studio
CORE104_Spring2021_S09,Scientific Inquiry ,Samhitha Raj,9:00:00,12:00:00,"Monday,",Semester,Art Studio
CORE104_Spring2021_S10,Scientific Inquiry ,Samhitha Raj,9:00:00,12:00:00,"Friday,",Semester,Maker Space
CORE105_Spring2021_S04,Design and Systems Thinking ,Minh Nguyen,13:15:00,16:15:00,"Monday,",Semester,Maker Space
CORE105_Spring2021_S06,Design and Systems Thinking ,Kien Truong,9:00:00,12:00:00,"Thursday,",Semester,Maker Space
CORE105_Spring2021_S07,Design and Systems Thinking ,Minh Nguyen,13:15:00,16:15:00,"Friday,",Semester,Maker Space
CS201_Spring2021_S01,Computer Science II: Data Structures ,Sebastian Dziallas,13:15:00,16:15:00,"Tuesday,",Semester,Classroom 5
CS203_Spring2021_S01,Computer Organiztion ,Kien Truong,9:00:00,12:00:00,"Tuesday,",Semester,Classroom 8 & 9
CS302_Spring2021_S01,Theory of Computing ,Hung Son Nguyen,18:30:00,20:00:00,"Wednesday, Thursday,",Quarter 3,Online
CS302_Spring2021_S01,Theory of Computing ,Hung Son Nguyen,16:30:00,19:30:00,"Tuesday,",Quarter 3,Online
CS303_Spring2021_S01,Human-Computer Interaction ,Sebastian Dziallas,13:15:00,16:15:00,"Thursday,",Semester,Classroom 5
ECON101_Spring2021_S01,Principles of Economics 1 ,Graeme Walker,9:00:00,12:00:00,"Thursday,",Semester,Classroom 4
ECON103_Spring2021_S01,Principles of Economics 2 ,Hieu Nguyen,13:15:00,16:15:00,"Monday,",Semester,Classroom 1
