No.,Semester/Term,Area 1,Area 2,Area 3,Level,Course Code ,Course Name,Reading/Writing Intensive ,Session #,Course Instructor,Visiting,Online,Blended,Classtime
1,Fall21,Core,,,Core,CORE101,Global Humanities​​ A,Y,1,Core Teaching Team ,,,,Tue&Thu 9:45am-11:15am
2,Fall21,Core,,,Core,CORE101,Global Humanities B,Y,2,Core Teaching Team ,,,,Mon&Wed 1:15pm-2:45pm
3,Fall21,Core,,,Core,CORE102,MVCS A,Y,1,Core Teaching Team ,,,,Tue&Thu 9:45am-11:15am
4,Fall21,Core,,,Core,CORE102,MVCS B,Y,2,Core Teaching Team ,,,,Mon&Wed 9:45am-11:15am
5,Fall21,Core,,,Core,CORE103,Quantitative Reasoning​​ A,,1,Core Teaching Team ,,,,Mon&Thu 9:45am-11:15am
6,Fall21,Core,,,Core,CORE103,Quantitative Reasoning​​ B,,2,Core Teaching Team ,,,,Tue&Fri 1:15pm-2:45pm
7,Fall21,Core,,,Core,CORE104,Scientific Inquiry​​ A,Y,1,Core Teaching Team ,,,,Tue&Thu 1:15pm-2:45pm
8,Fall21,Core,,,Core,CORE104,Scientific Inquiry​​ B,Y,2,Core Teaching Team ,,,,Wed&Fri 1:15pm-2:45pm
9,Fall21,Core,,,Core,CORE105,Design & Systems Thinking​​ A,,1,Core Teaching Team ,,,,Tue&Thu 3:00pm-4:30pm
10,Fall21,Core,,,Core,CORE105,Design & Systems Thinking​​ B,,2,Core Teaching Team ,,,,Mon&Wed 9:45am-11:15am
11,Fall21,Arts,,,100,ARTS101,Introduction to Visual Studies ,Y,1,Pamela Corey,,,,Tue&Thu 8:00am-9:30am
12,Fall21,Arts,,,200,ARTS204,Video and Film Production ,,1,Tuan Andrew Nguyen,1,,,Tue&Thu 9:45am-11:15am
13,Fall21,Arts,,,200,ARTS206,Dance and Performance Production,,1,Alexander Tu Nguyen,1,,,Wed&Fri 1:15pm-2:45pm
14,Fall21,Arts,,,300,ARTS301,Special Topics in Contemporary Art: Post-Asia,Y,1,Pamela Corey,,,,Tue&Thu 1:15pm-2:45pm
15,Fall21,CS,,,100,CS101,Computer Science I ,,1,Sebastian Dziallas,,,,Tue&Thu 3:00pm-4:30pm
16,Fall21,CS,,,300,CS301,Software Engineering,,1,Nguyễn V. Cường ,1,1,,Tue&Thu 1:15pm-2:45pm
17,Fall21,CS,,,300,CS302,Database Systems,,1,Nanette Veilleux​​​,1,,,Tue&Thu 3:00pm-4:30pm
18,Fall21,CS,,,300,CS304,Independent Study: Computational Linguistics (2 credits),,1,Nanette Veilleux​​​,1,,,Mon 3:00pm-4:30pm
19,Fall21,Econ,,,100,ECON101,Principles of Economics I,,1,Graeme Walker,,,,Mon&Wed 1:15pm-2:45pm
20,Fall21,Econ,,,100,ECON103,Principles of Economics II,Y,1,Khiếu Văn Hoàng,,,,Tue&Thu 4:45pm-6:15pm
21,Fall21,Econ,,,200,ECON204,Public Finance,,1,Joshua Greene,1,1,,Wed&Fri 8:00am-9:30am
22,Fall21,Econ,,,200,ECON208,Introduction to Venture Investing & Impact Investing (2 credits),,1,Shuyin Tang,1,,,Monday 5:00pm-8:00pm
23,Fall21,EL,,,100,EL101,Experiential Learning,,1,Coordinator: Vincent Pham,,,,Mon 4:45pm - 6:15pm
24,Fall21,His,VS,,100,HIS104,Modern East Asia,Y,1,Mark Frank,,,,Wed&Fri 9:45am-11:15am
25,Fall21,His,,,100,HIS105,World History Since 1300,,1,Jeremy Adelman & TA: Antoine Le,1,,1,Wed&Fri 1:15pm-2:45pm
26,Fall21,His,,,200,HIS202,Issues in Global Issues: Lessons from the Covid-19 Pandemic,,1,Geoffrey Stewart,1,1,,Mon&Wed 6:30pm-8:00pm
27,Fall21,His,,,200,HIS203,History of International Relations Thought,Y,1,Vũ Minh Hoàng,,,,Wed&Fri 3pm-4:30pm
28,Fall21,His,,,300,HIS301,"Europe on Trial: Law, Politics, and Society since Nuremberg",,1,Andrew Harold Bellisari,,,,Tue&Thu 1:15pm-2:45pm
29,Fall21,IS,,,300,IS301,Computational Chemistry and ChemInformatics,,1,Phan Vũ Xuân Hùng,,,,Wed&Fri 8:00am-9:45am
30,Fall21,Lit,,,300,LIT301,"Comedy, Ancient and Modern",Y,1,Kevin Hart,,,,Mon&Wed 8:00am-9:30am
31,Fall21,Math,,,100,MATH103,Linear Algebra,,1,Trần Hưng,1,1,,Wed&Fri 9:45am-11:15am
32,Fall21,Math,,,100,MATH105,Introduction to Data Analysis,Y,1,Trần Vĩnh Linh,,,,Mon&Wed 3:00pm-4:30pm
33,Fall21,Psy,IS,,100,PSY101,Introductory Psychology,Y,1,Skultip Sirikantraporn (Jill),,,,Wed&Fri 3pm-4:30pm
34,Fall21,Psy,,,200,PSY205,"Introduction to Psychological Disorders, Diagnosis & Treatment",,1,Matthew McDonald,,,,Tue&Thu 1:15pm-2:45pm
35,Fall21,Psy,,,300,PSY301,Applied Social Psychology ,,1,Matthew McDonald,,,,Mon&Wed 9:45am - 11:15am
36,Fall21,SS,,,100,SOCI102,Social Inquiry and the Social Sciences,,1,Jonathan London,1,1,,Tue&Thu 4:45pm-6:15pm
37,Fall21,SS,Lit,,100,SOCI104,Humility,,1,Michael Rosen ,1,,,Tue&Wed 1:15pm-2:45pm
38,Fall21,SS,Arts,,200,SOCI202,Digital Anthropology,,1,Ian Scott Kalman,,,,Mon&Wed 3:00pm-4:30pm
39,Fall21,SS,Econ,VS,200,SOCI208,Culture and the Economy in Developing Asia,,1,Philip Taylor,1,,,Tue&Thu 9:45am-11:15am
40,Fall21,SS,,,300,SOCI301,Women and Politics in Asia,,1,Nankyung Choi,1,1,,Tue&Thu 6:30pm-8:00pm
41,Fall21,SS,,,300,SOCI302,Ethnographic Research Methods,,1,Nankyung Choi,1,1,,Tue&Thu 3:00pm-4:30pm
